AI课ID,使用模型类型,知识库资源个数,是否24年开设,平台ID,课程名称,教学班ID,教学班所属院系,主讲教师ID,班级正式学生人数,雨课堂日均开课时长（班级开课总时长/开课天数）,布置作业个数,作业在成绩中占比,布置考试个数,考试在成绩中占比,起始时间,结束时间,持续多少周,调整原因
1OqoJs8grUqHC,智谱GLM-4-Plus,191,否,1OqoJs8grTQgV,电路（1）,cMjRU6IPKlMTnCXu,,cMjRU6IPKoqrGhdi,94,0:00:00,0,0.1,26,0.3,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
1OqoJs8grUqHC,智谱GLM-4-Plus,191,否,1OqoJs8grTQgV,电路（1）,cMjRU6IPKlMTnCXv,,cMjRU6IPKoqrGgWo,84,1:56:07,3,0.15,15,0.2,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
37CzHPTzdAWB,通义千问Max,3,否,1OqoJs8grTQgV,半导体物理,cMjRU6IPKlMTnCY4,,cMjRU6IPKoqrGgWt,98,1:58:50,0,0.2,23,0.2,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
1OqoJs8grTQTK,DeepSeek-R1,71,否,1OqoJs8grTQgV,英语A4,cMjRU6IPKlMTnNLx,,cMjRU6IPKoqrt8FH,31,3:32:58,3,0.5,0,0.0,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
1OqoJs8grTQTK,DeepSeek-R1,71,否,1OqoJs8grTQgV,英语A4,cMjRU6IPKlMTnNLC,,cMjRU6IPKoqrt8Jc,53,2:22:19,0,0.0,1,0.05,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
1OqoJs8grTQTK,DeepSeek-R1,71,否,1OqoJs8grTQgV,英语A4,cMjRU6IPKlMTnNM7,,cMjRU6IPKoqrt90y,32,7:47:32,0,0.4,5,0.1,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
1OqoJs8grTQTK,DeepSeek-R1,71,否,1OqoJs8grTQgV,英语A4,cMjRU6IPKlMTnNMc,,cMjRU6IPKoqrt8Hn,30,3:50:39,0,0.3,1,0.3,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
1OqoJs8grTQTK,DeepSeek-R1,71,否,1OqoJs8grTQgV,英语A4,cMjRU6IPKlMTnNMG,,cMjRU6IPKoqrt8FJ,19,1:51:34,0,0.4,3,0.1,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
1OqoJs8grTQTK,DeepSeek-R1,71,否,1OqoJs8grTQgV,英语A4,cMjRU6IPKlMTnNMH,,cMjRU6IPKoqrt8FJ,76,3:28:19,0,0.4,3,0.1,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
1OqoJs8grTQTK,DeepSeek-R1,71,否,1OqoJs8grTQgV,英语A4,cMjRU6IPKlMTnNMJ,,cMjRU6IPKoqrt8Iw,33,3:08:14,0,0.3,1,0.3,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
